"ligand","docking_score","ProteinID"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-5.997,"C13ORF33"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-5.931,"C13ORF33"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-5.912,"C13ORF33"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-5.525,"C13ORF33"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-5.46,"C13ORF33"
"Myricetin-3-O-glucuronide_CID_5487413.1",-5.449,"C13ORF33"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-5.414,"C13ORF33"
"2,5-dihydroxybenzoic acid_CID_3469.1",-5.318,"C13ORF33"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-5.27,"C13ORF33"
"Astragalin_CID_5282102.1",-5.236,"C13ORF33"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-5.191,"C13ORF33"
"Quercetin_CID_5280343.1",-5.189,"C13ORF33"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-5.188,"C13ORF33"
"5-O-caffeoylquinic acid_CID_5280633.1",-5.168,"C13ORF33"
"Kaempferol_CID_5280863.1",-5.072,"C13ORF33"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-5.067,"C13ORF33"
"Quercetin-3-O-galactoside_CID_5281643.1",-5.037,"C13ORF33"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-5.011,"C13ORF33"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-4.997,"C13ORF33"
"Umbelliferone_CID_5281426.1",-4.988,"C13ORF33"
"Apigenin_CID_5280443.1",-4.972,"C13ORF33"
"Luteolin_CID_5280445.1",-4.962,"C13ORF33"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-4.947,"C13ORF33"
"Kaempferol-O-rhamnoside_CID_5316673.1",-4.933,"C13ORF33"
"Physcion_CID_10639.1",-4.928,"C13ORF33"
"Vitexin_CID_5280441.1",-4.923,"C13ORF33"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-4.904,"C13ORF33"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-4.876,"C13ORF33"
"Orientin _CID_5281675.1",-4.875,"C13ORF33"
"Chrysoeriol_CID_5280666.1",-4.866,"C13ORF33"
"Esculetin_CID_5281416.1",-4.857,"C13ORF33"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-4.843,"C13ORF33"
"Emodin_CID_3220.1",-4.797,"C13ORF33"
"(+)-Catechin_CID_9064.1",-4.772,"C13ORF33"
"Rosmarinic acid_CID_5281792.1",-4.753,"C13ORF33"
"Daidzein_CID_5281708.1",-4.75,"C13ORF33"
"Isorhamnetin_CID_5281654.1",-4.674,"C13ORF33"
"Guaijaverin_CID_5481224.1",-4.647,"C13ORF33"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-4.644,"C13ORF33"
"Baicalein_CID_5281605.1",-4.631,"C13ORF33"
"Kaempferol 3-O-arabinoside_CID_5481882.1",-4.628,"C13ORF33"
