"ligand","docking_score","ProteinID"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-7.928,"C1QC"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-7.831,"C1QC"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-7.718,"C1QC"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-7.692,"C1QC"
"Kaempferol 3-O-arabinoside_CID_5481882.1",-7.392,"C1QC"
"Emodin_CID_3220.1",-7.356,"C1QC"
"Guaijaverin_CID_5481224.1",-7.346,"C1QC"
"Amentoflavone_CID_5281600.1",-7.29,"C1QC"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-7.249,"C1QC"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-7.139,"C1QC"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-7.043,"C1QC"
"Delphinidin_CID_128853.1",-7.026,"C1QC"
"Kaempferol_CID_5280863.1",-7.009,"C1QC"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-7.005,"C1QC"
"Neoisoschaftoside_CID_44257701.1",-7.003,"C1QC"
"Naringenin_CID_932.1",-6.968,"C1QC"
"Nicotiflorin_CID_5318767.1",-6.946,"C1QC"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-6.936,"C1QC"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-6.925,"C1QC"
"Quercetin derivative_CID_5281680.1",-6.912,"C1QC"
"Apigenin_CID_5280443.1",-6.881,"C1QC"
"Avicularin_CID_5490064.1",-6.852,"C1QC"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-6.85,"C1QC"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-6.846,"C1QC"
"Quercetin_CID_5280343.1",-6.79,"C1QC"
"Vitexin_CID_5280441.1",-6.763,"C1QC"
"Taxifolin_CID_439533.1",-6.742,"C1QC"
"Genistein_CID_5280961.1",-6.73,"C1QC"
"Secoisolariciresinol_CID_65373.1",-6.716,"C1QC"
"Quercetin-3-O-arabofuranoside_CID_5488539.1",-6.708,"C1QC"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-6.647,"C1QC"
"Quinic acid_CID_6508.1",-6.594,"C1QC"
"Kaempferol-3-O-pentoside_CID_14749097.1",-6.544,"C1QC"
"Orientin _CID_5281675.1",-6.54,"C1QC"
"Violantin_CID_442664.1",-6.506,"C1QC"
"Astragalin_CID_5282102.1",-6.473,"C1QC"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-6.467,"C1QC"
"(+)-Catechin_CID_9064.1",-6.45,"C1QC"
"Myricetin-3-O-glucuronide_CID_5487413.1",-6.448,"C1QC"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-6.426,"C1QC"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-6.405,"C1QC"
"Daidzein_CID_5281708.1",-6.387,"C1QC"
"Isorhamnetin_CID_5281654.1",-6.374,"C1QC"
"Betmidin_CID_14524431.1",-6.334,"C1QC"
"Delphinidin 3-rutinoside_CID_5492231.1",-6.329,"C1QC"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-6.323,"C1QC"
"D-Glucuronic Acid_CID_94715.1",-6.25,"C1QC"
"Delphinidin_CID_128853.1",-6.224,"C1QC"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-6.214,"C1QC"
"Gallomyricitrin_CID_5316590.1",-6.213,"C1QC"
"2,5-dihydroxybenzoic acid_CID_3469.1",-6.191,"C1QC"
"Chrysoeriol_CID_5280666.1",-6.172,"C1QC"
"Epicatechin_CID_72276.1",-6.165,"C1QC"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-6.149,"C1QC"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-6.13,"C1QC"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-6.067,"C1QC"
"Gallic acid_CID_370.1",-6.064,"C1QC"
"Rhamnetin 3-galactoside_CID_10344991.1",-6.055,"C1QC"
"Luteolin_CID_5280445.1",-6.051,"C1QC"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-6.041,"C1QC"
"5-O-caffeoylquinic acid_CID_5280633.1",-6.02,"C1QC"
"D-Galacturonic Acid_CID_439215.1",-6.01,"C1QC"
"Juglanin_CID_5318717.1",-5.977,"C1QC"
"Isovitexin_CID_162350.1",-5.943,"C1QC"
"Rosmarinic acid_CID_5281792.1",-5.912,"C1QC"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-5.907,"C1QC"
"Rutin_CID_5280805.1",-5.893,"C1QC"
"Quercetin-3-O-glucuronide_CID_5274585.1",-5.858,"C1QC"
"Baicalein_CID_5281605.1",-5.856,"C1QC"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-5.841,"C1QC"
"p-Hydroxybenzoic acid_CID_135.1",-5.838,"C1QC"
"Tagetiin_CID_11968966.1",-5.836,"C1QC"
"Liquiritin_CID_503737.1",-5.834,"C1QC"
"Kaempferol 3-O-arabinoside_CID_5481882.1",-5.749,"C1QC"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-5.747,"C1QC"
"Cosmosiin_CID_5280704.1",-5.732,"C1QC"
"Physcion_CID_10639.1",-5.729,"C1QC"
"D-Galactose_CID_6036.1",-5.724,"C1QC"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-5.721,"C1QC"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-5.715,"C1QC"
"Salicylic acid_CID_338.1",-5.694,"C1QC"
"Diosmin_CID_5281613.1",-5.671,"C1QC"
"Apigenin_CID_5280443.1",-5.643,"C1QC"
"Vanillic acid_CID_8468.1",-5.633,"C1QC"
"Amentoflavone_CID_5281600.1",-5.59,"C1QC"
"Quercetin-3-O-galactoside_CID_5281643.1",-5.571,"C1QC"
"Emodin_CID_3220.1",-5.569,"C1QC"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-5.543,"C1QC"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-5.541,"C1QC"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-5.54,"C1QC"
"Protocatechuic acid_CID_72.1",-5.466,"C1QC"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-5.441,"C1QC"
"7-methoxycoumarin_CID_10748.1",-5.396,"C1QC"
"Ellagic acid_CID_5281855.1",-5.393,"C1QC"
"Cinaroside_CID_5280637.1",-5.376,"C1QC"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-5.362,"C1QC"
"D-Glucose_CID_5793.1",-5.36,"C1QC"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-5.354,"C1QC"
"Umbelliferone_CID_5281426.1",-5.353,"C1QC"
"Luteolin_CID_5280445.1",-5.332,"C1QC"
"Esculetin_CID_5281416.1",-5.292,"C1QC"
"Delphinidin_CID_128853.1",-5.281,"C1QC"
"Kaempferol-O-rhamnoside_CID_5316673.1",-5.269,"C1QC"
"Epigallocatechin gallate_CID_65064.1",-5.232,"C1QC"
"Quercetin derivative_CID_5281680.1",-5.197,"C1QC"
"Genistein_CID_5280961.1",-5.196,"C1QC"
"Syringic acid_CID_10742.1",-5.193,"C1QC"
"Trans p-coumaric acid_CID_13783633.1",-5.144,"C1QC"
"Apiin_CID_5280746.1",-5.14,"C1QC"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-5.123,"C1QC"
