"ligand","docking_score","ProteinID"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-10.349,"COL4A1"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-9.88,"COL4A1"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-9.549,"COL4A1"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-9.528,"COL4A1"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-9.334,"COL4A1"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-9.061,"COL4A1"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-8.979,"COL4A1"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-8.968,"COL4A1"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-8.961,"COL4A1"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-8.861,"COL4A1"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-8.802,"COL4A1"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-8.772,"COL4A1"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-8.739,"COL4A1"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-8.681,"COL4A1"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-8.647,"COL4A1"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-8.631,"COL4A1"
"Rutin_CID_5280805.1",-8.623,"COL4A1"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-8.612,"COL4A1"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-8.57,"COL4A1"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-8.534,"COL4A1"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-8.53,"COL4A1"
"Betmidin_CID_14524431.1",-8.374,"COL4A1"
"Nicotiflorin_CID_5318767.1",-8.36,"COL4A1"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-8.339,"COL4A1"
"Delphinidin 3-rutinoside_CID_5492231.1",-8.332,"COL4A1"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-8.313,"COL4A1"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-8.3,"COL4A1"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-8.258,"COL4A1"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-8.208,"COL4A1"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-8.057,"COL4A1"
"Avicularin_CID_5490064.1",-7.948,"COL4A1"
"Quercetin-3-O-rhamnoside_CID_5280459.1",-7.929,"COL4A1"
"Quercitrin hydrate_CID_5280459.1",-7.929,"COL4A1"
"Aviculin_CID_10391477.1",-7.824,"COL4A1"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-7.799,"COL4A1"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-7.787,"COL4A1"
"(+)-Catechin_CID_9064.1",-7.747,"COL4A1"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-7.71,"COL4A1"
"Quercetin-3-O-arabofuranoside_CID_5488539.1",-7.648,"COL4A1"
"Delphinidin_CID_128853.1",-7.617,"COL4A1"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-7.541,"COL4A1"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-7.531,"COL4A1"
"Rhamnetin 3-galactoside_CID_10344991.1",-7.493,"COL4A1"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-7.479,"COL4A1"
"Guaijaverin_CID_5481224.1",-7.451,"COL4A1"
"Kaempferol-O-rhamnoside_CID_5316673.1",-7.385,"COL4A1"
"Orientin _CID_5281675.1",-7.356,"COL4A1"
"Kaempferol-3-O-pentoside_CID_14749097.1",-7.341,"COL4A1"
"Juglanin_CID_5318717.1",-7.186,"COL4A1"
"Quercetin-3-O-galactoside_CID_5281643.1",-7.13,"COL4A1"
"Isorhamnetin_CID_5281654.1",-7.049,"COL4A1"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-7.031,"COL4A1"
"Neoisoschaftoside_CID_44257701.1",-7.017,"COL4A1"
"Vitexin_CID_5280441.1",-7.005,"COL4A1"
"Delphinidin 3-rutinoside_CID_5492231.1",-6.974,"COL4A1"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-6.952,"COL4A1"
"Polydatin_CID_5281718.1",-6.949,"COL4A1"
"Astragalin_CID_5282102.1",-6.933,"COL4A1"
"Epicatechin_CID_72276.1",-6.849,"COL4A1"
"Emodin_CID_3220.1",-6.818,"COL4A1"
"Secoisolariciresinol_CID_65373.1",-6.764,"COL4A1"
"Kaempferol_CID_5280863.1",-6.762,"COL4A1"
"Diosmin_CID_5281613.1",-6.747,"COL4A1"
"Quercetin-3-O-glucuronide_CID_5274585.1",-6.747,"COL4A1"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-6.63,"COL4A1"
"Violantin_CID_442664.1",-6.507,"COL4A1"
"Kaempferol 3-O-arabinoside_CID_5481882.1",-6.505,"COL4A1"
"Genistein_CID_5280961.1",-6.468,"COL4A1"
"Delphinidin 3-rutinoside_CID_5492231.1",-6.456,"COL4A1"
"Naringenin_CID_932.1",-6.446,"COL4A1"
"Apigenin_CID_5280443.1",-6.441,"COL4A1"
"Cosmosiin_CID_5280704.1",-6.421,"COL4A1"
"Chrysoeriol_CID_5280666.1",-6.405,"COL4A1"
"Taxifolin_CID_439533.1",-6.401,"COL4A1"
"Apiin_CID_5280746.1",-6.333,"COL4A1"
"Quercetin derivative_CID_5281680.1",-6.241,"COL4A1"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-6.212,"COL4A1"
"Ellagic acid_CID_5281855.1",-6.164,"COL4A1"
"Epigallocatechin gallate_CID_65064.1",-6.149,"COL4A1"
"Physcion_CID_10639.1",-6.145,"COL4A1"
"Trans resveratrol_CID_445154.1",-6.111,"COL4A1"
"Esculetin_CID_5281416.1",-6.094,"COL4A1"
"D-Galacturonic Acid_CID_439215.1",-6.09,"COL4A1"
"Luteolin_CID_5280445.1",-6.089,"COL4A1"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-6.081,"COL4A1"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-6.058,"COL4A1"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-5.955,"COL4A1"
"Matairesinol_CID_119205.1",-5.945,"COL4A1"
