"ligand","docking_score","ProteinID"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-7.99,"DNASE1L3"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-7.926,"DNASE1L3"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-7.906,"DNASE1L3"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-7.823,"DNASE1L3"
"Amentoflavone_CID_5281600.1",-7.734,"DNASE1L3"
"Myricetin-3-O-glucuronide_CID_5487413.1",-7.453,"DNASE1L3"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-7.376,"DNASE1L3"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-7.307,"DNASE1L3"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-7.256,"DNASE1L3"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-7.243,"DNASE1L3"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-7.158,"DNASE1L3"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-7.064,"DNASE1L3"
"Apiin_CID_5280746.1",-7.03,"DNASE1L3"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-6.992,"DNASE1L3"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-6.9,"DNASE1L3"
"Juglanin_CID_5318717.1",-6.818,"DNASE1L3"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-6.814,"DNASE1L3"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-6.772,"DNASE1L3"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-6.753,"DNASE1L3"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-6.748,"DNASE1L3"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-6.744,"DNASE1L3"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-6.717,"DNASE1L3"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-6.706,"DNASE1L3"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-6.705,"DNASE1L3"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-6.696,"DNASE1L3"
"Epicatechin_CID_72276.1",-6.638,"DNASE1L3"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-6.636,"DNASE1L3"
"Avicularin_CID_5490064.1",-6.602,"DNASE1L3"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-6.587,"DNASE1L3"
"Baicalin_CID_64982.1",-6.584,"DNASE1L3"
"Nicotiflorin_CID_5318767.1",-6.566,"DNASE1L3"
"Rutin_CID_5280805.1",-6.539,"DNASE1L3"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-6.533,"DNASE1L3"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-6.509,"DNASE1L3"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-6.504,"DNASE1L3"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-6.341,"DNASE1L3"
"Rhamnetin 3-galactoside_CID_10344991.1",-6.34,"DNASE1L3"
"Chlorogenic acid_CID_1794427.1",-6.317,"DNASE1L3"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-6.314,"DNASE1L3"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-6.313,"DNASE1L3"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-6.312,"DNASE1L3"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-6.279,"DNASE1L3"
"Polydatin_CID_5281718.1",-6.276,"DNASE1L3"
"Quercetin-3-O-galactoside_CID_5281643.1",-6.254,"DNASE1L3"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-6.226,"DNASE1L3"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-6.208,"DNASE1L3"
"Guaijaverin_CID_5481224.1",-6.183,"DNASE1L3"
"Tagetiin_CID_11968966.1",-6.181,"DNASE1L3"
"Delphinidin_CID_128853.1",-6.145,"DNASE1L3"
"Gallomyricitrin_CID_5316590.1",-6.138,"DNASE1L3"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-6.137,"DNASE1L3"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-6.108,"DNASE1L3"
"Quercetin-3-O-arabofuranoside_CID_5488539.1",-6.099,"DNASE1L3"
