"ligand","docking_score","ProteinID"
"Delphinidin_CID_128853.1",-7.828,"DOCK10"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-7.39,"DOCK10"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-7.346,"DOCK10"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-7.334,"DOCK10"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-7.278,"DOCK10"
"Quercetin derivative_CID_5281680.1",-7.135,"DOCK10"
"Luteolin_CID_5280445.1",-7.034,"DOCK10"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-6.972,"DOCK10"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-6.947,"DOCK10"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-6.906,"DOCK10"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-6.827,"DOCK10"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-6.817,"DOCK10"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-6.785,"DOCK10"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-6.713,"DOCK10"
"Apiin_CID_5280746.1",-6.643,"DOCK10"
"Taxifolin_CID_439533.1",-6.607,"DOCK10"
"Quercetin_CID_5280343.1",-6.589,"DOCK10"
"2,5-dihydroxybenzoic acid_CID_3469.1",-6.581,"DOCK10"
"Quercetin-3-O-galactoside_CID_5281643.1",-6.579,"DOCK10"
"Diosmin_CID_5281613.1",-6.57,"DOCK10"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-6.551,"DOCK10"
"Rutin_CID_5280805.1",-6.517,"DOCK10"
"Cosmosiin_CID_5280704.1",-6.508,"DOCK10"
"Astragalin_CID_5282102.1",-6.481,"DOCK10"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-6.4,"DOCK10"
"Delphinidin 3-rutinoside_CID_5492231.1",-6.382,"DOCK10"
"Avicularin_CID_5490064.1",-6.366,"DOCK10"
"Naringenin_CID_932.1",-6.35,"DOCK10"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-6.344,"DOCK10"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-6.335,"DOCK10"
"(+)-Catechin_CID_9064.1",-6.331,"DOCK10"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-6.325,"DOCK10"
"Juglanin_CID_5318717.1",-6.315,"DOCK10"
"Epicatechin_CID_72276.1",-6.278,"DOCK10"
"Tagetiin_CID_11968966.1",-6.269,"DOCK10"
"Epigallocatechin gallate_CID_65064.1",-6.266,"DOCK10"
"Kaempferol_CID_5280863.1",-6.26,"DOCK10"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-6.256,"DOCK10"
"Orientin _CID_5281675.1",-6.253,"DOCK10"
