"ligand","docking_score","ProteinID"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-8.155,"DPP4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-7.937,"DPP4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-7.896,"DPP4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-7.73,"DPP4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-7.718,"DPP4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-7.707,"DPP4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-7.668,"DPP4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-7.356,"DPP4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-7.345,"DPP4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-7.337,"DPP4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-7.271,"DPP4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-7.231,"DPP4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-7.177,"DPP4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-7.051,"DPP4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-6.979,"DPP4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-6.951,"DPP4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-6.895,"DPP4"
"Avicularin_CID_5490064.1",-6.832,"DPP4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-6.828,"DPP4"
"Quercetin-3-O-arabofuranoside_CID_5488539.1",-6.657,"DPP4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-6.62,"DPP4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-6.61,"DPP4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-6.601,"DPP4"
"Delphinidin 3-rutinoside_CID_5492231.1",-6.591,"DPP4"
"Guaijaverin_CID_5481224.1",-6.547,"DPP4"
"Rutin_CID_5280805.1",-6.458,"DPP4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-6.394,"DPP4"
"Kaempferol-3-O-pentoside_CID_14749097.1",-6.393,"DPP4"
"Delphinidin_CID_128853.1",-6.291,"DPP4"
"Apiin_CID_5280746.1",-6.259,"DPP4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-6.249,"DPP4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-6.21,"DPP4"
"Gallomyricitrin_CID_5316590.1",-6.125,"DPP4"
"Aviculin_CID_10391477.1",-6.125,"DPP4"
"Nicotiflorin_CID_5318767.1",-6.119,"DPP4"
"Neoisoschaftoside_CID_44257701.1",-6.102,"DPP4"
"Epicatechin_CID_72276.1",-6.091,"DPP4"
"2,5-dihydroxybenzoic acid_CID_3469.1",-6.081,"DPP4"
"Secoisolariciresinol_CID_65373.1",-6.07,"DPP4"
"Emodin_CID_3220.1",-6.06,"DPP4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-5.978,"DPP4"
"Diosmin_CID_5281613.1",-5.976,"DPP4"
"Physcion_CID_10639.1",-5.96,"DPP4"
"Amentoflavone_CID_5281600.1",-5.931,"DPP4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-5.907,"DPP4"
"Myricetin-3-O-glucuronide_CID_5487413.1",-5.886,"DPP4"
"Polydatin_CID_5281718.1",-5.881,"DPP4"
"Taxifolin_CID_439533.1",-5.869,"DPP4"
"Kaempferol_CID_5280863.1",-5.824,"DPP4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-5.79,"DPP4"
"Liquiritin_CID_503737.1",-5.788,"DPP4"
"Genistein_CID_5280961.1",-5.779,"DPP4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-5.777,"DPP4"
"Isovitexin_CID_162350.1",-5.776,"DPP4"
"Isorhamnetin_CID_5281654.1",-5.773,"DPP4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-5.77,"DPP4"
"Quercetin-3-O-galactoside_CID_5281643.1",-5.74,"DPP4"
"Violantin_CID_442664.1",-5.715,"DPP4"
"D-Glucuronic Acid_CID_94715.1",-5.703,"DPP4"
"Luteolin_CID_5280445.1",-5.683,"DPP4"
"Quercetin_CID_5280343.1",-5.668,"DPP4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-5.634,"DPP4"
"Gallic acid_CID_370.1",-5.6,"DPP4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-5.598,"DPP4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-5.583,"DPP4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-5.57,"DPP4"
"Orientin _CID_5281675.1",-5.568,"DPP4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-5.561,"DPP4"
"Protocatechuic acid_CID_72.1",-5.539,"DPP4"
"(+)-Catechin_CID_9064.1",-5.528,"DPP4"
"Chrysoeriol_CID_5280666.1",-5.525,"DPP4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-5.514,"DPP4"
"Apigenin_CID_5280443.1",-5.512,"DPP4"
"Quercetin derivative_CID_5281680.1",-5.488,"DPP4"
"Cosmosiin_CID_5280704.1",-5.486,"DPP4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-5.479,"DPP4"
"Daidzein_CID_5281708.1",-5.47,"DPP4"
"Epigallocatechin gallate_CID_65064.1",-5.435,"DPP4"
"Naringenin_CID_932.1",-5.424,"DPP4"
"Kaempferol-O-rhamnoside_CID_5316673.1",-5.424,"DPP4"
"Rhamnetin 3-galactoside_CID_10344991.1",-5.414,"DPP4"
"Tagetiin_CID_11968966.1",-5.372,"DPP4"
"Cinaroside_CID_5280637.1",-5.37,"DPP4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-5.348,"DPP4"
"Matairesinol_CID_119205.1",-5.341,"DPP4"
"Betmidin_CID_14524431.1",-5.34,"DPP4"
"Vitexin_CID_5280441.1",-5.326,"DPP4"
"Juglanin_CID_5318717.1",-5.305,"DPP4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-5.285,"DPP4"
"Delphinidin 3-rutinoside_CID_5492231.1",-5.285,"DPP4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-5.276,"DPP4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-5.258,"DPP4"
"Delphinidin 3-rutinoside_CID_5492231.1",-5.257,"DPP4"
"D-Galactose_CID_6036.1",-5.246,"DPP4"
"Baicalin_CID_64982.1",-5.216,"DPP4"
"Esculetin_CID_5281416.1",-5.215,"DPP4"
"D-Galacturonic Acid_CID_439215.1",-5.193,"DPP4"
"Scopoletin_CID_5280460.1",-5.127,"DPP4"
"Kaempferol 3-O-arabinoside_CID_5481882.1",-5.117,"DPP4"
"5-O-caffeoylquinic acid_CID_5280633.1",-5.113,"DPP4"
"D-Glucose_CID_5793.1",-5.101,"DPP4"
"Rosmarinic acid_CID_5281792.1",-5.085,"DPP4"
"Quercetin-3-O-rhamnoside_CID_5280459.1",-5.038,"DPP4"
"Quercitrin hydrate_CID_5280459.1",-5.038,"DPP4"
"Amentoflavone_CID_5281600.1",-5.029,"DPP4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-5.028,"DPP4"
"Trans resveratrol_CID_445154.1",-5.019,"DPP4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-4.993,"DPP4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-4.988,"DPP4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-4.979,"DPP4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-4.923,"DPP4"
"Baicalein_CID_5281605.1",-4.899,"DPP4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-4.881,"DPP4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-4.88,"DPP4"
"Delphinidin_CID_128853.1",-4.876,"DPP4"
"Cirsilineol_CID_162464.1",-4.867,"DPP4"
"Umbelliferone_CID_5281426.1",-4.831,"DPP4"
"Astragalin_CID_5282102.1",-4.827,"DPP4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-4.817,"DPP4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-4.801,"DPP4"
"Quercetin-3-O-glucuronide_CID_5274585.1",-4.794,"DPP4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-4.784,"DPP4"
"Bergapten_CID_2355.1",-4.745,"DPP4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-4.693,"DPP4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-4.69,"DPP4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-4.676,"DPP4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-4.675,"DPP4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-4.616,"DPP4"
"7-methoxycoumarin_CID_10748.1",-4.609,"DPP4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-4.585,"DPP4"
"p-Hydroxybenzoic acid_CID_135.1",-4.583,"DPP4"
"Quinic acid_CID_6508.1",-4.577,"DPP4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-4.489,"DPP4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-4.463,"DPP4"
"Emodin_CID_3220.1",-4.409,"DPP4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-4.394,"DPP4"
"Quercetin-3-O-galactoside_CID_5281643.1",-4.377,"DPP4"
"Syringic acid_CID_10742.1",-4.366,"DPP4"
"Salicylic acid_CID_338.1",-4.312,"DPP4"
"Avicularin_CID_5490064.1",-4.27,"DPP4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-4.267,"DPP4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-4.264,"DPP4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-4.26,"DPP4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-4.235,"DPP4"
"Sinapic acid_CID_637775.1",-4.203,"DPP4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-4.194,"DPP4"
"Gallomyricitrin_CID_5316590.1",-4.185,"DPP4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-4.162,"DPP4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-4.128,"DPP4"
"Violantin_CID_442664.1",-4.114,"DPP4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-4.088,"DPP4"
"Vitexin_CID_5280441.1",-4.086,"DPP4"
"Ellagic acid_CID_5281855.1",-4.043,"DPP4"
"Epigallocatechin gallate_CID_65064.1",-4.007,"DPP4"
"Vanillic acid_CID_8468.1",-4.002,"DPP4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-3.983,"DPP4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-3.979,"DPP4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-3.932,"DPP4"
"Amentoflavone_CID_5281600.1",-3.871,"DPP4"
"Neoisoschaftoside_CID_44257701.1",-3.868,"DPP4"
"Delphinidin_CID_128853.1",-3.86,"DPP4"
"Kaempferol 3-O-arabinoside_CID_5481882.1",-3.85,"DPP4"
"o-coumaric acid_CID_637540.1",-3.812,"DPP4"
"Kaempferol_CID_5280863.1",-3.8,"DPP4"
"Tagetiin_CID_11968966.1",-3.787,"DPP4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-3.783,"DPP4"
"Delphinidin_CID_128853.1",-3.746,"DPP4"
"Rutin_CID_5280805.1",-3.745,"DPP4"
"Gallomyricitrin_CID_5316590.1",-3.729,"DPP4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-3.704,"DPP4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-3.699,"DPP4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-3.679,"DPP4"
"Isovitexin_CID_162350.1",-3.647,"DPP4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-3.633,"DPP4"
"Delphinidin 3-rutinoside_CID_5492231.1",-3.615,"DPP4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-3.614,"DPP4"
"Baicalein_CID_5281605.1",-3.613,"DPP4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-3.609,"DPP4"
"Guaijaverin_CID_5481224.1",-3.608,"DPP4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-3.598,"DPP4"
"Caffeic acid_CID_689043.1",-3.596,"DPP4"
"Orientin _CID_5281675.1",-3.595,"DPP4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-3.585,"DPP4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-3.569,"DPP4"
"Luteolin_CID_5280445.1",-3.559,"DPP4"
"Trans p-coumaric acid_CID_13783633.1",-3.541,"DPP4"
"Betmidin_CID_14524431.1",-3.535,"DPP4"
"Ellagic acid_CID_5281855.1",-3.534,"DPP4"
"Neoisoschaftoside_CID_44257701.1",-3.519,"DPP4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-3.48,"DPP4"
"Juglanin_CID_5318717.1",-3.461,"DPP4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-3.455,"DPP4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-3.449,"DPP4"
"Gallomyricitrin_CID_5316590.1",-3.446,"DPP4"
"Nicotiflorin_CID_5318767.1",-3.423,"DPP4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-3.416,"DPP4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-3.376,"DPP4"
"Quercetin derivative_CID_5281680.1",-3.373,"DPP4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-3.367,"DPP4"
"Guaijaverin_CID_5481224.1",-3.353,"DPP4"
"Chrysoeriol_CID_5280666.1",-3.324,"DPP4"
"Ellagic acid_CID_5281855.1",-3.315,"DPP4"
"Amentoflavone_CID_5281600.1",-3.315,"DPP4"
"3,4-dimethoxycinnamic acid_CID_717531.1",-3.314,"DPP4"
"Gallomyricitrin_CID_5316590.1",-3.296,"DPP4"
"Quercetin-3-O-rhamnoside_CID_5280459.1",-3.277,"DPP4"
"Quercitrin hydrate_CID_5280459.1",-3.277,"DPP4"
"Quercetin-3-O-glucuronide_CID_5274585.1",-3.276,"DPP4"
"Myricetin-3-O-glucuronide_CID_5487413.1",-3.256,"DPP4"
"Delphinidin_CID_128853.1",-3.255,"DPP4"
"Quercetin-3-O-arabofuranoside_CID_5488539.1",-3.246,"DPP4"
"Quercetin-3-O-arabofuranoside_CID_5488539.1",-3.235,"DPP4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-3.218,"DPP4"
"p-Coumaric acid_CID_637542.1",-3.204,"DPP4"
"Taxifolin_CID_439533.1",-3.192,"DPP4"
"Kaempferol-3-O-pentoside_CID_14749097.1",-3.172,"DPP4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-3.161,"DPP4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-3.152,"DPP4"
"Quercetin_CID_5280343.1",-3.149,"DPP4"
"Rutin_CID_5280805.1",-3.135,"DPP4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-3.127,"DPP4"
