"ligand","docking_score","ProteinID"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-8.571,"ECGF1"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-8.363,"ECGF1"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-8.32,"ECGF1"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-8.313,"ECGF1"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-7.77,"ECGF1"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-7.263,"ECGF1"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-7.223,"ECGF1"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-7.186,"ECGF1"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-7.142,"ECGF1"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-7.096,"ECGF1"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-7.047,"ECGF1"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-7.046,"ECGF1"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-7.034,"ECGF1"
"Neoisoschaftoside_CID_44257701.1",-7.013,"ECGF1"
"Nicotiflorin_CID_5318767.1",-6.991,"ECGF1"
"Delphinidin 3-rutinoside_CID_5492231.1",-6.977,"ECGF1"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-6.938,"ECGF1"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-6.837,"ECGF1"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-6.757,"ECGF1"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-6.709,"ECGF1"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-6.699,"ECGF1"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-6.631,"ECGF1"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-6.614,"ECGF1"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-6.535,"ECGF1"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-6.507,"ECGF1"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-6.492,"ECGF1"
"Delphinidin_CID_128853.1",-6.42,"ECGF1"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-6.383,"ECGF1"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-6.374,"ECGF1"
"Apiin_CID_5280746.1",-6.314,"ECGF1"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-6.312,"ECGF1"
