"ligand","docking_score","ProteinID"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-8.097,"EHD4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-7.94,"EHD4"
"Vitexin_CID_5280441.1",-7.863,"EHD4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-7.769,"EHD4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-7.754,"EHD4"
"Isovitexin_CID_162350.1",-7.709,"EHD4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-7.538,"EHD4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-7.532,"EHD4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-7.347,"EHD4"
"Baicalin_CID_64982.1",-7.228,"EHD4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-7.173,"EHD4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-7.149,"EHD4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-7.121,"EHD4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-7.116,"EHD4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-7.092,"EHD4"
"Cosmosiin_CID_5280704.1",-7.048,"EHD4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-7.033,"EHD4"
"Cinaroside_CID_5280637.1",-7.02,"EHD4"
"Guaijaverin_CID_5481224.1",-7.003,"EHD4"
"Amentoflavone_CID_5281600.1",-6.958,"EHD4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-6.87,"EHD4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-6.86,"EHD4"
"Rutin_CID_5280805.1",-6.858,"EHD4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-6.838,"EHD4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-6.837,"EHD4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-6.815,"EHD4"
"Quercetin-3-O-arabofuranoside_CID_5488539.1",-6.761,"EHD4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-6.742,"EHD4"
"Tagetiin_CID_11968966.1",-6.727,"EHD4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-6.727,"EHD4"
"Apiin_CID_5280746.1",-6.692,"EHD4"
"Violantin_CID_442664.1",-6.68,"EHD4"
"Quercetin-3-O-rhamnoside_CID_5280459.1",-6.655,"EHD4"
"Quercitrin hydrate_CID_5280459.1",-6.655,"EHD4"
"Betmidin_CID_14524431.1",-6.631,"EHD4"
"Diosmin_CID_5281613.1",-6.623,"EHD4"
"Quercetin_CID_5280343.1",-6.575,"EHD4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-6.572,"EHD4"
"Neoisoschaftoside_CID_44257701.1",-6.537,"EHD4"
"Polydatin_CID_5281718.1",-6.46,"EHD4"
"Naringenin_CID_932.1",-6.362,"EHD4"
"Luteolin_CID_5280445.1",-6.354,"EHD4"
"Myricetin-3-O-glucuronide_CID_5487413.1",-6.342,"EHD4"
"Rutin_CID_5280805.1",-6.284,"EHD4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-6.275,"EHD4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-6.216,"EHD4"
"Gallomyricitrin_CID_5316590.1",-6.2,"EHD4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-6.192,"EHD4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-6.173,"EHD4"
"Apigenin_CID_5280443.1",-6.151,"EHD4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-6.146,"EHD4"
"Avicularin_CID_5490064.1",-6.135,"EHD4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-6.126,"EHD4"
"Chrysoeriol_CID_5280666.1",-6.119,"EHD4"
"Kaempferol_CID_5280863.1",-6.078,"EHD4"
"Kaempferol 3-O-arabinoside_CID_5481882.1",-6.077,"EHD4"
"Quinic acid_CID_6508.1",-6.076,"EHD4"
"Baicalein_CID_5281605.1",-6.07,"EHD4"
"Trans resveratrol_CID_445154.1",-6.054,"EHD4"
"Nicotiflorin_CID_5318767.1",-6.023,"EHD4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-6.018,"EHD4"
"Emodin_CID_3220.1",-6.018,"EHD4"
"Taxifolin_CID_439533.1",-5.999,"EHD4"
"Physcion_CID_10639.1",-5.936,"EHD4"
"Kaempferol-O-rhamnoside_CID_5316673.1",-5.919,"EHD4"
"Chlorogenic acid_CID_1794427.1",-5.911,"EHD4"
"Quercetin-3-O-rutinoside_2D_CID_5293655.1",-5.904,"EHD4"
"Quercetin-3-O-glucuronide_CID_5274585.1",-5.887,"EHD4"
"Orientin _CID_5281675.1",-5.877,"EHD4"
"Isovitexin_CID_162350.1",-5.875,"EHD4"
"Cirsilineol_CID_162464.1",-5.846,"EHD4"
